#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
18.400757,1000,924.927694
642.19507,1000,924.927698
72.20244,1000,924.927703
64.20125,1000,945.128666
788.3943,1000,945.128716
191.4013,1000,945.128726
126.40204,1000,945.128733
220.19583,1000,945.12874
-1.9992799,1000,945.128747
250.99554,1000,945.128754
789.9924,1000,945.12876
-66.9998,1000,945.128767
439.9944,1000,945.128773
667.5934,1000,945.12878
352.59412,1000,945.128786
219.19502,1000,945.128793
236.59976,1000,945.128799
666.3938,1000,945.128805
-139.99907,1000,945.128812
86.6017,1000,945.128818
-116.99946,1000,945.128824
368.1974,1000,945.128831
-55.600113,1000,945.128837
662.58997,1000,945.128843
667.39355,1000,945.12885
365.3913,1000,945.128856
212.60207,1000,945.128862
377.59494,1000,945.128869
241.39465,1000,945.128875
788.1903,1000,945.128884
792.3939,1000,945.12889
651.5925,1000,955.713862
71.802475,1000,955.713908
504.19846,1000,955.713916
165.20245,1000,955.713922
666.595,1000,955.713927
9.800845,1000,955.713933
789.5913,1000,955.713938
136.20044,1000,955.713943
13.801482,1000,955.713948
660.99225,1000,955.713954
787.39014,1000,955.713959
170.5971,1000,955.713964
794.9929,1000,955.713969
663.7911,1000,955.713974
22.201458,1000,955.71398
-99.79978,1000,955.713985
125.402374,1000,955.713991
500.1999,1000,955.713996
236.79527,1000,955.714002
790.19434,1000,955.714007
-166.3988,1000,955.714012
47.60215,1000,955.714017
9.801089,1000,955.714028
209.8019,1000,955.714035
323.1942,1000,955.714041
794.393,1000,955.714046
522.7974,1000,955.714051
259.79382,1000,955.714057
136.60094,1000,978.075361
254.79552,1000,978.07541
266.39288,1000,978.075421
260.39584,1000,978.075429
664.1932,1000,978.075436
789.5921,1000,978.075443
828.9946,1000,978.075449
514.59625,1000,978.075456
135.4018,1000,978.075463
664.3931,1000,978.075469
791.3949,1000,978.075476
340.99405,1000,978.075483
-145.59892,1000,978.07549
-42.79991,1000,978.075496
141.20026,1000,978.075503
511.39215,1000,978.07551
105.40268,1000,978.075516
665.99396,1000,978.075522
125.40172,1000,978.075529
49.601547,1000,978.075535
855.39465,1000,978.075542
-102.999626,1000,978.075552
-89.19981,1000,978.075559
-33.600006,1000,978.075565
364.9971,1000,978.075572
39.20079,1000,978.075578
160.99979,1000,978.075585
660.79236,1000,978.075592
295.1932,1000,999.048981
661.59125,1000,999.049037
-72.00013,1000,999.049046
-136.19919,1000,999.049052
788.3923,1000,999.049058
188.40158,1000,999.049063
-14.798927,1000,999.049069
226.1944,1000,999.049074
36.60171,1000,999.04908
-101.399796,1000,999.049086
665.59503,1000,999.049091
331.59445,1000,999.049096
183.79843,1000,999.049102
222.39525,1000,999.049107
-80.00002,1000,999.049113
570.78973,1000,999.049117
27.001522,1000,999.049123
-91.19987,1000,999.049128
-61.799847,1000,999.049134
-116.79943,1000,999.049139
299.19186,1000,999.049144
792.19836,1000,999.049149
503.99756,1000,999.049155
666.3895,1000,999.04916
59.801754,1000,999.049165
788.39056,1000,999.04917
48.20087,1000,999.049176
-189.9982,1000,999.049181
