#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
438.8,1000,1892.752372
683.2,1000,1894.880135
-29.4,1000,1897.097926
246.4,1000,1899.306186
796.4,1000,1901.470881
557.2,1000,1905.3694
683.4,1000,1907.439941
120.0,1000,1909.563458
153.8,1000,1911.759926
228.4,1000,1913.926271
96.0,1000,1916.06479
677.2,1000,1918.388495
-82.6,1000,1920.634653
-167.6,1000,1924.871166
679.8,1000,1926.963955
819.6,1000,1929.144556
677.4,1000,1931.457117
433.0,1000,1933.446086
458.2,1000,1935.521559
786.2,1000,1937.469881
678.6,1000,1939.610174
365.8,1000,1943.683537
-133.8,1000,1945.663472
-39.0,1000,1947.681986
678.2,1000,1949.75654
-109.0,1000,1951.785945
29.2,1000,1953.877094
799.6,1000,1955.957678
649.6,1000,1958.036649
796.2,1000,1962.326063
388.4,1000,1964.135715
-18.8,1000,1966.174505
26.2,1000,1968.220189
836.6,1000,1970.258493
793.6,1000,1972.370256
546.2,1000,1974.574795
270.2,1000,1976.711206
169.8,1000,1980.909426
-2.6,1000,1983.042507
234.8,1000,1985.059591
792.6,1000,1987.151164
241.8,1000,1989.230289
-96.2,1000,1991.180811
800.6,1000,1993.247099
-86.6,1000,1995.242167
206.0,1000,1999.399888
399.0,1000,2001.346349
208.4,1000,2002.990054
-23.6,1000,2004.973579
263.6,1000,2006.863317
679.0,1000,2008.850511
122.8,1000,2011.19949
129.0,1000,2013.746065
435.4,1000,2017.932718
145.6,1000,2020.037707
128.2,1000,2022.073171
-121.2,1000,2024.291966
255.2,1000,2026.206852
425.0,1000,2028.435158
678.8,1000,2030.644087
531.8,1000,2032.712538
663.4,1000,2036.540863
-193.6,1000,2038.639399
790.6,1000,2040.718645
680.2,1000,2042.755897
259.0,1000,2044.784095
387.0,1000,2046.833647
790.2,1000,2048.861017
290.6,1000,2050.877873
790.4,1000,2054.822778
177.6,1000,2056.919279
39.6,1000,2059.0869
790.8,1000,2061.281933
125.2,1000,2063.328036
69.8,1000,2065.237997
-97.4,1000,2067.186661
108.8,1000,2069.159054
-120.4,1000,2073.255282
-138.0,1000,2075.289738
789.4,1000,2077.616679
374.0,1000,2079.845686
190.4,1000,2081.932917
803.0,1000,2084.14591
42.0,1000,2086.298114
676.2,1000,2088.2934
385.0,1000,2092.57739
51.6,1000,2094.59952
790.4,1000,2096.751054
-74.4,1000,2099.153146
516.6,1000,2101.526138
676.0,1000,2103.646963
-40.4,1000,2106.157471
683.6,1000,2108.283152
66.8,1000,2111.825984
231.2,1000,2113.964813
264.4,1000,2115.954765
80.6,1000,2118.047489
74.4,1000,2120.043118
163.8,1000,2121.986054
-114.8,1000,2124.089662
34.2,1000,2126.086897
166.0,1000,2130.069851
789.6,1000,2132.061452
33.0,1000,2134.111451
181.4,1000,2136.104025
794.6,1000,2138.104095
142.8,1000,2140.032379
265.6,1000,2142.004635
407.8,1000,2143.999941
403.6,1000,2147.823883
-166.6,1000,2149.824211
493.6,1000,2151.855294
228.2,1000,2153.794266
-182.4,1000,2155.825481
144.8,1000,2157.507389
180.4,1000,2159.552065
521.6,1000,2161.593769
670.0,1000,2165.600081
-131.4,1000,2167.539595
678.2,1000,2169.610924
669.0,1000,2171.681342
360.0,1000,2173.708353
-179.8,1000,2175.732737
519.0,1000,2177.741615
141.2,1000,2179.775321
270.8,1000,2183.691165
64.2,1000,2185.68723
807.8,1000,2188.015282
